Product ID;Product Name;Category;Sub Category;Proveedor ID;Marca;Costo por unidad;Otros impuestos 2%; Total costo ;25%  Rentabilidad;IVA 21%;Precio final;;
P122;Gatorade naranja 500ml;Bebidas;Bebida isotónic;pr002;Gatorade; $ 1.772 ;35; $ 1.807 ; $ 2.259 ; $ 474 ; $ 2.734 ;;
P123;Gatorade frutas tropicales 500ml;Bebidas;Bebida isotónic;pr002;Gatorade; $ 1.772 ;35; $ 1.807 ; $ 2.259 ; $ 474 ; $ 2.734 ;;
P124;Gatorade manzana 500ml;Bebidas;Bebida isotónic;pr002;Gatorade; $ 1.772 ;35; $ 1.807 ; $ 2.259 ; $ 474 ; $ 2.734 ;;
P125;Gatorade cool blue 1,25l;Bebidas;Bebida isotónic;pr002;Gatorade; $ 2.658 ;53; $ 2.711 ; $ 3.389 ; $ 712 ; $ 4.100 ;;
P126;Gatorade naranja 1,25l;Bebidas;Bebida isotónic;pr002;Gatorade; $ 2.658 ;53; $ 2.711 ; $ 3.389 ; $ 712 ; $ 4.100 ;;
P127;Gatorade frutas tropicales 1,25l;Bebidas;Bebida isotónic;pr002;Gatorade; $ 2.658 ;53; $ 2.711 ; $ 3.389 ; $ 712 ; $ 4.100 ;;
P128;Gatorade manzana 1,25;Bebidas;Bebida isotónic;pr002;Gatorade; $ 2.658 ;53; $ 2.711 ; $ 3.389 ; $ 712 ; $ 4.100 ;;
P129;Citric pomelo 500ml ;Bebidas;Jugo exprimido;pr005;Citric; $ 2.769 ;55; $ 2.824 ; $ 3.530 ; $ 741 ; $ 4.271 ;;
P130;Citric manzana 500ml;Bebidas;Jugo exprimido;pr005;Citric; $ 2.769 ;55; $ 2.824 ; $ 3.530 ; $ 741 ; $ 4.271 ;;
P131;Citric naranja 500ml ;Bebidas;Jugo exprimido;pr005;Citric; $ 2.769 ;55; $ 2.824 ; $ 3.530 ; $ 741 ; $ 4.271 ;;
P132;Citric frutilla con naranja 500ml;Bebidas;Jugo exprimido;pr005;Citric; $ 2.769 ;55; $ 2.824 ; $ 3.530 ; $ 741 ; $ 4.271 ;;
P133;Citric durazno con naranja 500ml;Bebidas;Jugo exprimido;pr005;Citric; $ 2.769 ;55; $ 2.824 ; $ 3.530 ; $ 741 ; $ 4.271 ;;
P134;Citric limonada con menta 500ml;Bebidas;Jugo exprimido;pr005;Citric; $ 2.769 ;55; $ 2.824 ; $ 3.530 ; $ 741 ; $ 4.271 ;;
P135;Citric pomelo con jengibre 500ml;Bebidas;Jugo exprimido;pr005;Citric; $ 4.208 ;84; $ 4.292 ; $ 5.366 ; $ 1.127 ; $ 6.492 ;;
P136;Citric pomelo 1l ;Bebidas;Jugo exprimido;pr005;Citric; $ 4.208 ;84; $ 4.292 ; $ 5.366 ; $ 1.127 ; $ 6.492 ;;
P137;Citric manzana 1l;Bebidas;Jugo exprimido;pr005;Citric; $ 4.208 ;84; $ 4.292 ; $ 5.366 ; $ 1.127 ; $ 6.492 ;;
P138;Citric naranja 1l ;Bebidas;Jugo exprimido;pr005;Citric; $ 4.208 ;84; $ 4.292 ; $ 5.366 ; $ 1.127 ; $ 6.492 ;;
P139;Citric frutilla con naranja 1l;Bebidas;Jugo exprimido;pr005;Citric; $ 4.208 ;84; $ 4.292 ; $ 5.366 ; $ 1.127 ; $ 6.492 ;;
P140;Citric durazno con naranja 1l;Bebidas;Jugo exprimido;pr005;Citric; $ 4.208 ;84; $ 4.292 ; $ 5.366 ; $ 1.127 ; $ 6.492 ;;
P141;Citric limonada con menta 1l;Bebidas;Jugo exprimido;pr005;Citric; $ 4.208 ;84; $ 4.292 ; $ 5.366 ; $ 1.127 ; $ 6.492 ;;
P142;Citric pomelo con jengibre 1l;Bebidas;Jugo exprimido;pr005;Citric; $ 4.208 ;84; $ 4.292 ; $ 5.366 ; $ 1.127 ; $ 6.492 ;;
P143;Perrier carbonatada 250ml;Bebidas;Sodas;pr006;Perrier; $ 2.215 ;44; $ 2.259 ; $ 2.824 ; $ 593 ; $ 3.417 ;;
P144;Perrier maison lima 250ml;Bebidas;Sodas;pr006;Perrier; $ 2.547 ;51; $ 2.598 ; $ 3.248 ; $ 682 ; $ 3.930 ;;
P145;Perrier maison pomelo 250ml;Bebidas;Sodas;pr006;Perrier; $ 2.547 ;51; $ 2.598 ; $ 3.248 ; $ 682 ; $ 3.930 ;;
P146;Perrier carbonatada 330ml;Bebidas;Sodas;pr006;Perrier; $ 2.879 ;58; $ 2.937 ; $ 3.671 ; $ 771 ; $ 4.442 ;;
P147;Perrier carbonatada 500ml;Bebidas;Sodas;pr006;Perrier; $ 3.322 ;66; $ 3.389 ; $ 4.236 ; $ 890 ; $ 5.126 ;;
P148;Perrier maison raspberry rose 330ml;Bebidas;Sodas;pr006;Perrier; $ 3.433 ;69; $ 3.502 ; $ 4.377 ; $ 919 ; $ 5.296 ;;
P149;Perrier maison citrus cherry;Bebidas;Sodas;pr006;Perrier; $ 3.433 ;69; $ 3.502 ; $ 4.377 ; $ 919 ; $ 5.296 ;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
